REPORT_ID_DERIVED,RunCount,RunningDaysSpan,AvgDailyRun
00O0b000004kTazEAE,5617,22,255.3181818181818
00O0b000004kkZKEAY,305,4,76.25
00O0b000004AnheEAC,152,4,38.0
00O2R000003s2NZUAY,124,6,20.666666666666668
00O2R000003JSoUUAW,344,26,13.23076923076923
00O2R000003zZwyUAE,120,12,10.0
00O6P000000VEhpUAG,97,10,9.7
00O6P000000ZLmYUAW,97,27,3.5925925925925926
00O2R000003JUDGUA4,22,8,2.75
00O2R0000043l85UAA,4,2,2.0
00O2R000004BQB2UAO,22,13,1.6923076923076923
00O6P000001B8NWUA0,19,14,1.3571428571428572
00O6P0000012jMDUAY,18,17,1.0588235294117647
00O6P000000uLaoUAE,1,1,1.0
00O6P000000ZLilUAG,1,1,1.0
00O6P0000016vmQUAQ,10,11,0.9090909090909091
00O6P000000VFRvUAO,14,18,0.7777777777777778
00O2R000004BQSmUAO,16,23,0.6956521739130435
00O6P000000uLdYUAU,11,16,0.6875
00O6P000000ZNLzUAO,14,25,0.56
00O2R000003s5ZgUAI,11,20,0.55
00O6P0000016wGVUAY,3,6,0.5
00O6P0000012jdnUAA,8,20,0.4
00O2R000004Im1oUAC,9,23,0.391304347826087
00O6P000001B7TOUA0,6,16,0.375
00O6P0000012kDgUAI,6,17,0.35294117647058826
00O2R0000044FBGUA2,2,6,0.3333333333333333
00O2R000003zZykUAE,7,22,0.3181818181818182
00O6P000001B7egUAC,5,17,0.29411764705882354
00O6P000001B8NgUAK,4,14,0.2857142857142857
00O6P000000VElgUAG,4,14,0.2857142857142857
00O6P000001B85rUAC,5,18,0.2777777777777778
00O2R000004ImGKUA0,6,22,0.2727272727272727
00O6P000000yWiDUAU,1,5,0.2
00O2R0000044FapUAE,2,10,0.2
00O6P000000uLCwUAM,4,23,0.17391304347826086
00O6P000000VEhoUAG,2,12,0.16666666666666666
00O6P000000ZLx7UAG,2,13,0.15384615384615385
00O6P000000VFNFUA4,2,22,0.09090909090909091
00O6P000000uKw0UAE,1,14,0.07142857142857142
00O2R000004ImdTUAS,1,16,0.0625
00O6P000000uLIfUAM,1,21,0.047619047619047616
00O6P000001B7qrUAC,1,23,0.043478260869565216
