CLIENT_GEO,PAGE_URL,PAGE_CONTEXT,PAGE_ENTITY_TYPE,TIMESTAMP,TIMESTAMP_DERIVED,UI_EVENT_SOURCE,UI_EVENT_TYPE,UI_EVENT_ID,USER_AGENT,COMPONENT_NAME,REPORT_ID_DERIVED
China/Fujian,/lightning/r/LiveChatTranscript/5706P000001RXN6QAO/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220628011459.496,2022-06-28T01:14:59.497Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5706P000001RXN6QAO
China/Fujian,/lightning/r/LiveChatTranscript/5706P000001RXN6QAO/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220628011459.504,2022-06-28T01:14:59.502Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5706P000001RXN6QAO
China/Fujian,/lightning/r/LiveChatTranscript/5706P000001RXN6QAO/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220628011459.504,2022-06-28T01:14:59.504Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5706P000001RXN6QAO
United States/Texas,/lightning/r/LiveChatTranscript/5706P000000wJSFQA2/view?channel=LIVE_AGENT,one:recordHomeFlexipage,LiveChatTranscript,20220628011509.83,2022-06-28T01:15:09.829Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5706P000000wJSFQA2
United States/Utah,/lightning/r/Report/00O2R000004AmwmUAC/view?queryScope=userFolders,reports:reportBase,Report,20220628011700.51,2022-06-28T01:17:00.510Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O2R000004AmwmUAC
India/Haryana,/lightning/r/Case/5006P0000066liDQAQ/view,one:recordHomeFlexipage2Wrapper,Case,20220628011728.11,2022-06-28T01:17:28.109Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36""",,5006P0000066liDQAQ
United States/null,/lightning/r/WorkOrder/0WO6P000002GiSrWAK/view,one:recordHomeFlexipage,WorkOrder,20220628012229.4,2022-06-28T01:22:29.401Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",,0WO6P000002GiSrWAK
United States/Texas,/lightning/r/Report/00O0b000004keC5EAI/view?queryScope=userFolders,reports:reportBase,Report,20220628012416.32,2022-06-28T01:24:16.322Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O0b000004keC5EAI
United States/Texas,/lightning/r/Report/00O0b000004keC5EAI/view?queryScope=userFolders,reports:reportBase,Report,20220628012416.324,2022-06-28T01:24:16.323Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O0b000004keC5EAI
United States/Texas,/lightning/r/Report/00O0b000004keC5EAI/view?queryScope=userFolders,reports:reportBase,Report,20220628012416.324,2022-06-28T01:24:16.325Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O0b000004keC5EAI
United States/Texas,/lightning/r/Report/00O0b000004keC5EAI/view?queryScope=userFolders,reports:reportBase,Report,20220628012416.33,2022-06-28T01:24:16.328Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O0b000004keC5EAI
United States/null,/lightning/r/Case/5006P000005m9x6QAA/view,one:recordHomeFlexipage2Wrapper,Case,20220628013250.543,2022-06-28T01:32:50.545Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,5006P000005m9x6QAA
United States/North Carolina,/lightning/r/Report/00O6P000000ZNd9UAG/view?reportFilters=%5B%7B%22value%22%3A%22Peru%2CArgentina%2CVenezuela%2CChile%2CColombia%2CPanama%2CEl%20Salvador%2CCosta%20Rica%2CBolivia%2CParaguay%2CUruguay%2CEcuador%2CVirgin%20Islands%20%28US%29%2CAnguilla%2CAntigua%20%26%20Barbuda%2CAruba%2CBahamas%2CBarbados%2CBermuda%2CBritish%20Virgin%20Islands%2CCayman%20Islands%2CCura%C3%A7ao%2CDominica%2CDominican%20Republic%2CGrenada%2CHaiti%2CJamaica%2CPuerto%20Rico%2CSaint%20Kitts%20%26%20Nevis%2CSaint%20Lucia%2CSaint%20Vincent%20%26%20the%20Grenadines%2CBelize%2CGuatemala%2CHonduras%2CNicaragua%2CTrinidad%20and%20Tobago%2CSuriname%2CGuyana%2CTurks%20and%20Caicos%20Islands%2CAmerican%20Samoa%2CCuba%2CFalkland%20Islands%2CFaroe%20Islands%2CFrench%20Guiana%2CGuadeloupe%2CMartinique%2CSint%20Maarten%22%2C%22operator%22%3A%22contains%22%2C%22column%22%3A%22pse__Proj__c.Region_Name_Chain__c%22%7D%5D,reports:reportBase,Report,20220628013357.566,2022-06-28T01:33:57.569Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O6P000000ZNd9UAG
United States/North Carolina,/lightning/r/Report/00O6P000000ZNdEUAW/view?reportFilters=%5B%7B%22value%22%3A%22Peru%2CArgentina%2CVenezuela%2CChile%2CColombia%2CPanama%2CEl%20Salvador%2CCosta%20Rica%2CBolivia%2CParaguay%2CUruguay%2CEcuador%2CVirgin%20Islands%20%28US%29%2CAnguilla%2CAntigua%20%26%20Barbuda%2CAruba%2CBahamas%2CBarbados%2CBermuda%2CBritish%20Virgin%20Islands%2CCayman%20Islands%2CCura%C3%A7ao%2CDominica%2CDominican%20Republic%2CGrenada%2CHaiti%2CJamaica%2CPuerto%20Rico%2CSaint%20Kitts%20%26%20Nevis%2CSaint%20Lucia%2CSaint%20Vincent%20%26%20the%20Grenadines%2CBelize%2CGuatemala%2CHonduras%2CNicaragua%2CTrinidad%20and%20Tobago%2CSuriname%2CGuyana%2CTurks%20and%20Caicos%20Islands%2CAmerican%20Samoa%2CCuba%2CFalkland%20Islands%2CFaroe%20Islands%2CFrench%20Guiana%2CGuadeloupe%2CMartinique%2CSint%20Maarten%22%2C%22operator%22%3A%22contains%22%2C%22column%22%3A%22pse__Proj__c.Region_Name_Chain__c%22%7D%5D,reports:reportBase,Report,20220628013357.742,2022-06-28T01:33:57.748Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00O6P000000ZNdEUAW
United States/Utah,/lightning/r/WorkOrder/0WO6P000001se6NWAQ/view,one:recordHomeFlexipage,WorkOrder,20220628013604.24,2022-06-28T01:36:04.244Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,0WO6P000001se6NWAQ
United States/null,/lightning/r/Task/00T6P0000056A1dUAE/view?ws=%2Flightning%2Fr%2FAsset%2F02i2R00000JGWV5QAP%2Fview,one:recordHomeFlexipage,Task,20220628013703.6,2022-06-28T01:37:03.600Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,00T6P0000056A1dUAE
India/Haryana,/lightning/r/Case/5006P000005tNAWQA2/view,one:recordHomeFlexipage2Wrapper,Case,20220628013838.336,2022-06-28T01:38:38.337Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36""",,5006P000005tNAWQA2
United States/Texas,/lightning/r/WorkOrder/0WO6P000001nPGYWA2/view,one:recordHomeFlexipage,WorkOrder,20220628015716.32,2022-06-28T01:57:16.317Z,Error,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36""",,0WO6P000001nPGYWA2
China/Fujian,/lightning/r/Case/5006P000005ouYBQAY/view,one:recordHomeFlexipage2Wrapper,Case,20220628012733.527,2022-06-28T01:27:33.526Z,TypeError,error,ltng:error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",,5006P000005ouYBQAY
