EVENT_TYPE_x,TIMESTAMP_x,REQUEST_ID_x,ORGANIZATION_ID,USER_ID_x,RUN_TIME_x,CPU_TIME_x,URI_x,SESSION_KEY_x,LOGIN_KEY_x,USER_TYPE,REQUEST_STATUS_x,DB_TOTAL_TIME_x,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME_x,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS_x,DB_CPU_TIME_x,TIMESTAMP_DERIVED,USER_ID_DERIVED_x,CLIENT_IP,URI_ID_DERIVED_x,EVENT_TYPE_y,TIMESTAMP_y,REQUEST_ID_y,USER_ID_y,RUN_TIME_y,CPU_TIME_y,URI_y,SESSION_KEY_y,LOGIN_KEY_y,REQUEST_STATUS_y,DB_TOTAL_TIME_y,ENTITY_NAME_y,DISPLAY_TYPE,RENDERING_TYPE,REPORT_ID,ROW_COUNT,NUMBER_EXCEPTION_FILTERS,NUMBER_COLUMNS,AVERAGE_ROW_SIZE,SORT,DB_BLOCKS_y,DB_CPU_TIME_y,NUMBER_BUCKETS,USER_ID_DERIVED_y,URI_ID_DERIVED_y,ReportId,ORIGIN
API,20220628012417.8,SLB:8fe932cca1526bed629705bbefb44eb2,00D0b000000GaMp,0050b000004KISt,28.0,21.0,Api,Pn3Ok/yahHOweX6r,3KxhQt3A519LyRAM,Standard,,5621914.0,P,41.0,Boomi/,query,Contact,1.0,727.0,731.0,14.0,0.0,2022-06-28T01:24:17.797Z,0050b000004KIStAAO,143.166.255.115,,Report,20220628012417.8,SLB:b6b8fadc101a841b304b6acd0d957c74,0050b000004KD9z,159,101,/aura,7Kr6JOlBGu/9ArlO,WTmJcozlYiIzKOwF,,72416921,,S,,00O2R000004F15k,11.0,0,4.0,218.0,,878.0,30.0,0,0050b000004KD9zAAG,,00O2R000004F15kUAC,ReportRunFromLightning
API,20220628100104.902,SLB:038201a874e3c5c2bfa9c0a888e2719c,00D0b000000GaMp,0052R00000AQuu8,41.0,32.0,Api,6P9yHeIQaTLMZka4,wiftaPS5ehvFBVJ2,Standard,,4894740.0,P,41.0,Boomi/,query,User,1.0,675.0,892.0,7.0,0.0,2022-06-28T10:01:04.905Z,0052R00000AQuu8QAD,143.166.226.119,,Report,20220628100104.902,TID:18939960000002c8a0,0050b000004KEAY,741,282,/aura,kuxYHh/nu6h/ihb2,THg+yf/avcAG7ESJ,,338465910,,H,,00O2R000003JCXa,1.0,0,9.0,514.0,0720b000001mujK.down,1098.0,50.0,0,0050b000004KEAYAA4,,00O2R000003JCXaUAO,ReportRunFromLightning
API,20220628100145.55,SLB:d07c4516cad3732537d2f63153c0fc4f,00D0b000000GaMp,0050b000004KISt,22.0,15.0,Api,Pn3Ok/yahHOweX6r,zeMh/LvKZtjYa5rA,Standard,,4466464.0,P,41.0,Boomi/,query,Asset,1.0,651.0,778.0,20.0,0.0,2022-06-28T10:01:45.551Z,0050b000004KIStAAO,143.166.226.119,,Report,20220628100145.55,SLB:23a9070858e7abd908e3f551d2addf00,0050b000004K3KF,494,356,/aura,t4N/stW6mJKLQlY4,s7Bucj10T1so+BNk,,159764796,,H,,00O0b000004kTaz,2.0,0,11.0,673.0,,1270.0,30.0,0,0050b000004K3KFAA0,,00O0b000004kTazEAE,ReportRunFromLightning
API,20220628100717.51,SLB:ee0cd45797509e5efdf359c248a8b502,00D0b000000GaMp,0050b000004KISt,24.0,18.0,Api,Pn3Ok/yahHOweX6r,HgGnFKbX30v7LBUS,Standard,,4988727.0,P,41.0,Boomi/,query,Account,1.0,655.0,782.0,18.0,10.0,2022-06-28T10:07:17.511Z,0050b000004KIStAAO,143.166.226.119,,Report,20220628100717.51,SLB:26a8cff300c19a642dfe21f2e06eb434,0050b000004K3KF,471,356,/aura,t4N/stW6mJKLQlY4,s7Bucj10T1so+BNk,,134778709,,H,,00O0b000004kTaz,1.0,0,11.0,656.0,,1266.0,30.0,0,0050b000004K3KFAA0,,00O0b000004kTazEAE,ReportRunFromLightning
API,20220628101607.09,SLB:e1132ba097a4525932c10254b0b48b1a,00D0b000000GaMp,0050b000004KISt,27.0,20.0,Api,Pn3Ok/yahHOweX6r,E+ivwP7Yg4RJf9Fj,Standard,,5225225.0,P,41.0,Boomi/,query,Account,1.0,662.0,836.0,18.0,0.0,2022-06-28T10:16:07.089Z,0050b000004KIStAAO,143.166.255.111,,Report,20220628101607.09,TID:157987090000061077,0051P000003jYhs,567,316,/aura,pJAwp9Pw6Dd82ihz,bKDJt9T+estRRZju,,247748018,,H,,00O2R0000043lHL,2.0,0,14.0,600.0,,1255.0,50.0,0,0051P000003jYhsQAE,,00O2R0000043lHLUAY,ReportRunFromLightning
API,20220628103312.348,SLB:27f0ac50a011c36f7955f4f76ceec525,00D0b000000GaMp,0052R000009TkM8,36.0,28.0,Api,nvRUvT3Dve1PaHM0,J6J4mUN48ahOMqEY,Standard,,6356939.0,P,41.0,Boomi/,query,Contact,0.0,713.0,551.0,27.0,0.0,2022-06-28T10:33:12.348Z,0052R000009TkM8QAK,143.166.255.127,,Report,20220628103312.348,TID:3095570900001fdc68,0050b000004K3HT,698,330,/aura,A6j21Grhxk0T4T9P,p31sYhCQKn8rrONA,,249937522,,H,,00O6P0000016ur0,58.0,0,16.0,699.0,,11646.0,50.0,0,0050b000004K3HTAA0,,00O6P0000016ur0UAA,ReportRunFromLightning
API,20220628103604.016,SLB:200d9c03670b96cdc03f9bfebff200f4,00D0b000000GaMp,0050b000004K1UI,145.0,91.0,Api,T4dg+6XwBb/6oL/4,OG5IzKZ4DBebrZPa,Standard,,24054853.0,P,41.0,Boomi/,query,Task,1.0,1326.0,2942.0,237.0,0.0,2022-06-28T10:36:04.016Z,0050b000004K1UIAA0,143.166.226.112,,Report,20220628103604.016,TID:14499690000c2b9726,0052R000009TnH6,1088,381,/aura,k4er9/WPiHmDiSjT,vhay1lHV9sxDcsZY,,760801815,,H,,00O0b000004kTaz,12.0,0,29.0,1218.0,,93514.0,340.0,0,0052R000009TnH6QAK,,00O0b000004kTazEAE,ReportRunFromLightning
API,20220628103744.59,SLB:b5499eab422f282f02397365978e5926,00D0b000000GaMp,0050b000004KISt,23.0,17.0,Api,YhgBJjCZwaQ+YXUU,bYM+xlnz+aQTqjmP,Standard,,4408300.0,P,41.0,Boomi/,query,Account,1.0,654.0,781.0,18.0,0.0,2022-06-28T10:37:44.589Z,0050b000004KIStAAO,143.166.255.112,,Report,20220628103744.59,TID:29256500000ad9417b,0050b000004K721,603,401,/aura,umSbln1G9ug0Lpfn,RPDUD3VVGrgj86yT,,170568499,,H,,00O2R000004BQ1b,19.0,0,27.0,1189.0,CDF1.down,20249.0,60.0,0,0050b000004K721AAC,,00O2R000004BQ1bUAG,ReportRunFromLightning
API,20220628105748.72,SLB:1e9a9f4619b5a1a12351a149cf41fc2a,00D0b000000GaMp,0052R000009TkM8,30.0,22.0,Api,nvRUvT3Dve1PaHM0,J6J4mUN48ahOMqEY,Standard,,6910942.0,P,41.0,Boomi/,query,Contact,0.0,714.0,551.0,27.0,0.0,2022-06-28T10:57:48.722Z,0052R000009TkM8QAK,143.166.255.127,,Report,20220628105748.72,TID:162936150000090965,0052R000009TpsK,558,415,/aura,cEVrqys2ni6RvbXR,KLQdLmrKh6OSdLHZ,,122207611,,H,,00O0b000004kTaz,19.0,0,29.0,1337.0,0720b000001dyL5.up,3435.0,60.0,0,0052R000009TpsKQAS,,00O0b000004kTazEAE,ReportRunFromLightning
API,20220628140443.363,SLB:3d1fc8b7480b9bc14b5e3b227635d045,00D0b000000GaMp,0050b000004K1UI,135.0,84.0,Api,T4dg+6XwBb/6oL/4,Pcm7owtPP9YcQgP3,Standard,,20482009.0,P,41.0,Boomi/,query,Task,1.0,1326.0,3453.0,307.0,10.0,2022-06-28T14:04:43.365Z,0050b000004K1UIAA0,143.166.255.112,,Report,20220628140443.363,TID:86835610000039038c,0050b000004KCyN,663,463,/aura,fJpZt0tBzdgo1knz,LbdEjqr+gXouLdHA,,201463450,,H,,00O0b000004kTaz,16.0,0,29.0,1454.0,,5002.0,80.0,0,0050b000004KCyNAAW,,00O0b000004kTazEAE,ReportRunFromLightning
