"CreatedById","CreatedDate","Description","DeveloperName","FolderName","Format","Id","IsDeleted","LastModifiedById","LastModifiedDate","LastReferencedDate","LastRunDate","LastViewedDate","Name","NamespacePrefix","OwnerId","ReportTypeApiName","SystemModstamp"
"0050b000004MLGeAAO","2018-06-20T19:28:03.000Z","","Email2Case_KPI_Wp9","Public Reports","Summary","00O0b000004kSKkEAM","false","0050b000004MLGeAAO","2019-10-16T03:00:16.000Z","2022-06-20T02:04:59.000Z","2022-06-20T02:04:59.000Z","2022-06-20T02:04:59.000Z","Email2Case KPI","","00D0b000000GaMpEAK","CaseList@Case.MaritzCX__Survey_Response_Id__c","2022-06-20T02:04:59.000Z"
"0050b000004KRSoAAO","2021-08-18T13:14:25.000Z","","Milestone_Report_by_Pallavi_Reddy","Public Reports","Summary","00O2R000003JUgNUAW","false","0050b000004KRSoAAO","2021-08-19T07:27:05.000Z","2022-06-19T18:20:34.000Z","2022-04-18T05:30:14.000Z","2022-06-19T18:20:34.000Z","APJ RDC PM Team - Milestone Report","","00D0b000000GaMpEAK","Project_with_Order_Milestone_Product__c","2022-04-18T05:30:14.000Z"
"0050b000004KRSoAAO","2021-08-18T14:53:32.000Z","","APJ_RDC_PM_Current_Quarter_Milestones","Public Reports","Summary","00O2R000003JUh6UAG","false","0050b000004KRSoAAO","2021-08-19T07:08:48.000Z","","2022-05-25T08:03:16.000Z","","APJ RDC PM - Current Quarter Milestones","","00D0b000000GaMpEAK","Project_with_Order_Milestone_Product__c","2022-05-25T08:03:16.000Z"
"0050b000004KVKcAAO","2021-05-06T17:43:54.000Z","Show QTD Earned Revenue - Milestones that have been taken this quarter","C_C_QTD_Earned_Revenue1","Public Reports","Summary","00O2R000003s1qaUAA","false","0050b000004KVKcAAO","2021-08-09T21:37:07.000Z","2022-06-19T18:20:37.000Z","2022-06-15T20:56:37.000Z","2022-06-19T18:20:37.000Z","C&C - QTD Earned Revenue","","00D0b000000GaMpEAK","","2022-06-15T20:56:37.000Z"
"0052R000009nJKyQAM","2020-08-06T07:00:50.000Z","","Germany_Swivel_Projects_2","Public Reports","Tabular","00O2R000003rzEdUAI","false","0050b000004KUjyAAG","2020-09-01T13:03:59.000Z","","2021-10-28T19:18:37.000Z","","Germany Swivel Projects CFQ","","00D0b000000GaMpEAK","","2021-10-28T19:18:37.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","What documents are in the document library?","SampleReportDocumentLibrary","Public Reports","Summary","00O0b000004RmskEAC","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","2022-06-19T17:40:18.000Z","2022-06-19T17:40:18.000Z","2022-06-19T17:40:18.000Z","Sample Report: Document Library","","00D0b000000GaMpEAK","DocumentList","2022-06-19T17:40:18.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","Who has the most open cases?","SampleReportCasesStatusbyRep","Public Reports","Matrix","00O0b000004VYLmEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2022-03-29T23:14:25.000Z","","Sample Report: Cases Status by Rep","","00D0b000000GaMpEAK","CaseList@Case.MaritzCX__Survey_Response_Id__c","2022-03-29T23:14:25.000Z"
"0050b000004KVKcAAO","2021-07-16T15:16:13.000Z","Cyber Recovery Projects","C_C_Cyber_Recovery_Projects","Public Reports","Summary","00O2R000003JT8tUAG","false","0050b000004KVKcAAO","2021-07-16T16:26:57.000Z","","2022-01-04T13:56:01.000Z","","C&C - Cyber Recovery Projects","","00D0b000000GaMpEAK","Projects_with_MilestoneOrder_and_Order_Product__c","2022-01-04T13:56:01.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How many accounts are being added to Salesforce?","SampleReportofAccounts","Public Reports","Matrix","00O0b000004RmsjEAC","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2022-02-09T20:16:36.000Z","","Sample Report: # of Accounts","","00D0b000000GaMpEAK","AccountList@Account.tz__DST_Setting__c","2022-02-09T20:16:36.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","This report is used to power the embedded chart on the Accounts page.  Any changes made here will be reflected in that chart.","Opportunity_Amount_by_Stage_Sample","Public Reports","Summary","00O0b000004RmslEAC","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2020-07-01T14:28:51.000Z","","Opportunity Amount by Stage (Sample)","","00D0b000000GaMpEAK","Opportunity","2020-07-01T14:28:51.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How much business have I closed so far?","SampleReportClosedSales","Public Reports","Matrix","00O0b000004VYLdEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2021-06-04T13:16:49.000Z","","Sample Report: Closed Sales","","00D0b000000GaMpEAK","Opportunity","2021-06-04T13:16:49.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How much pipeline is at each sales stage?","SampleReportSalesPipelinebyStage","Public Reports","Matrix","00O0b000004VYLeEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2021-08-30T11:52:38.000Z","","Sample Report: Sales Pipeline by Stage","","00D0b000000GaMpEAK","Opportunity","2021-08-30T11:52:38.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","What deals have not closed yet?","SampleReportOpenDeals","Public Reports","Summary","00O0b000004VYLgEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2022-02-10T09:18:58.000Z","","Sample Report: Open Deals","","00D0b000000GaMpEAK","Opportunity","2022-02-10T09:18:58.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","What pipeline do I have by close month?","SampleReportPipelineByCloseMonth","Public Reports","Matrix","00O0b000004VYLhEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2018-10-06T17:47:47.000Z","","Sample Report: Pipeline By Close Month","","00D0b000000GaMpEAK","Opportunity","2018-10-06T17:47:47.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How many leads has each lead source generated for me?","SampleReportLeadsbyLeadSource","Public Reports","Summary","00O0b000004VYLiEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2020-11-12T03:29:11.000Z","","Sample Report: Leads by Lead Source","","00D0b000000GaMpEAK","LeadList@Lead.tz__DST_Setting__c","2020-11-12T03:29:11.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","Which accounts are generating the most sales opportunities?","SampleReportTopAccounts","Public Reports","Summary","00O0b000004VYLjEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2021-03-16T16:03:05.000Z","","Sample Report: Top Accounts","","00D0b000000GaMpEAK","Opportunity","2021-03-16T16:03:05.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How Many Solutions are Being Added to the Knowledgebase each Month?","SampleReportSolutionsAdded","Public Reports","Matrix","00O0b000004VYLkEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2022-01-05T17:41:45.000Z","","Sample Report: Solutions Added","","00D0b000000GaMpEAK","SolutionList","2022-01-05T17:41:45.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","Who are my top sales reps?","SampleReportSalesLeaderboard","Public Reports","Matrix","00O0b000004VYLlEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2019-07-23T08:48:37.000Z","","Sample Report: Sales Leaderboard","","00D0b000000GaMpEAK","Opportunity","2019-07-23T08:48:37.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","What is the status of leads created this quarter?","SampleReportsLeadsbyStatus","Public Reports","Matrix","00O0b000004VYLnEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2019-07-26T13:51:00.000Z","","Sample Reports: Leads by Status","","00D0b000000GaMpEAK","LeadList@Lead.tz__DST_Setting__c","2019-07-26T13:51:00.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How do sales this month correlate to prior months?","SampleReportMonthtoDateTrending","Public Reports","Matrix","00O0b000004VYLoEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2020-03-11T06:50:54.000Z","","Sample Report: Month to Date Trending","","00D0b000000GaMpEAK","Opportunity","2020-03-11T06:50:54.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","What did the pipeline look like as of...","SampleReportPipelineHistory","Public Reports","Matrix","00O0b000004VYLpEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2021-08-30T11:53:25.000Z","","Sample Report: Pipeline History","","00D0b000000GaMpEAK","OpportunityTrend","2021-08-30T11:53:25.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How many documents have been added to Salesforce?","SampleReportofDocuments","Public Reports","Summary","00O0b000004VYLqEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2022-02-15T14:14:58.000Z","","Sample Report: # of Documents","","00D0b000000GaMpEAK","DocumentList","2022-02-15T14:14:58.000Z"
"0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","How many custom reports have we added to Salesforce?","SampleReportofReports","Public Reports","Summary","00O0b000004VYLrEAO","false","0050b000004dgkKAAQ","2017-08-15T17:20:40.000Z","","2022-05-10T15:26:26.000Z","","Sample Report: # of Reports","","00D0b000000GaMpEAK","ReportList","2022-05-10T15:26:26.000Z"
